# Timestep performance metrics.
# Lib: tenFlat_h_ins.res: For tenFlat_h_ins
# Period: Fri-05-Feb@00h30(1982) to Thu-11-Feb@23h30(1982) : sim@60m, output@60m
Time  bedroomdbT(degC) livingroomdbT(degC) bathroomdbT(degC) loftdbT(degC) halldbT(degC)
14h30      16.42      16.20      18.12       6.79      16.93
15h30      16.40      16.18      18.09       6.93      16.92
16h30      16.35      16.13      18.06       6.91      16.87
17h30      16.28      16.32      18.03       6.75      16.82
18h30      16.35      16.85      18.00       6.46      16.78
19h30      16.49      17.18      17.98       6.12      16.73
20h30      16.50      16.88      17.97       5.95      16.71
21h30      16.46      16.46      17.96       5.79      16.68
22h30      16.50      16.44      17.94       5.67      16.66
23h30      16.57      16.39      17.92       5.59      16.67
00h30      16.59      16.24      17.89       5.46      16.63
01h30      16.60      16.22      17.87       5.36      16.62
02h30      16.64      16.19      17.85       5.27      16.61
03h30      16.67      16.17      17.83       5.23      16.60
04h30      16.71      16.20      17.83       5.19      16.58
05h30      16.82      16.26      17.84       5.15      16.58
06h30      16.96      16.32      17.87       5.19      16.60
07h30      16.79      16.44      17.91       5.21      16.57
08h30      16.50      16.61      17.96       5.17      16.54
09h30      16.60      16.44      18.03       5.16      16.54
10h30      16.76      16.16      18.10       5.33      16.55
11h30      16.86      16.23      18.16       5.68      16.60
12h30      17.02      16.35      18.22       6.12      16.65
13h30      17.12      16.40      18.26       6.57      16.68
14h30      17.19      16.43      18.30       6.84      16.69
15h30      17.24      16.43      18.33       6.91      16.70
16h30      17.27      16.42      18.35       6.88      16.71
17h30      17.28      16.65      18.36       6.73      16.71
18h30      17.40      17.16      18.36       6.42      16.68
19h30      17.59      17.49      18.37       6.05      16.67
20h30      17.60      17.23      18.39       5.84      16.69
21h30      17.58      16.86      18.40       5.75      16.71
22h30      17.64      16.86      18.40       5.69      16.74
23h30      17.73      16.86      18.40       5.68      16.78
00h30      17.80      16.79      18.40       5.74      16.83
01h30      17.78      16.79      18.39       5.74      16.83
02h30      17.76      16.74      18.37       5.66      16.83
03h30      17.79      16.73      18.36       5.59      16.86
04h30      17.82      16.75      18.35       5.59      16.90
05h30      17.81      16.75      18.34       5.67      16.91
06h30      17.82      16.76      18.33       5.84      16.94
07h30      17.59      16.89      18.32       6.06      16.98
08h30      17.22      17.08      18.30       6.27      17.01
09h30      17.16      16.86      18.29       6.44      17.01
10h30      17.15      16.50      18.28       6.71      17.02
11h30      17.07      16.50      18.26       7.05      17.04
12h30      17.04      16.51      18.23       7.38      17.05
13h30      17.00      16.46      18.21       7.67      17.04
14h30      16.96      16.44      18.19       7.86      17.04
15h30      16.92      16.40      18.17       7.92      17.03
16h30      16.89      16.37      18.15       7.91      17.01
17h30      16.86      16.61      18.13       7.87      17.00
18h30      16.99      17.21      18.11       7.81      16.99
19h30      17.20      17.62      18.10       7.73      16.98
20h30      17.22      17.37      18.09       7.71      16.98
21h30      17.18      16.94      18.09       7.69      16.96
22h30      17.21      16.87      18.07       7.61      16.95
23h30      17.27      16.83      18.05       7.55      16.96
